,Unnamed: 0,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
1249,15590,RANCHIRES03DEL01,28.0,4.7,01-04-2022,13:20,13:30,Cloudy,High,2,Snack,motorcycle,1.0,No,Metropolitian,26,20002.51968876809
1250,9618,PUNERES09DEL01,25.0,5.0,09-03-2022,11:50,12:05,Cloudy,High,1,Drinks,motorcycle,0.0,No,Metropolitian,21,20002.51968876809
1251,14488,VADRES03DEL03,32.0,3.7,23-03-2022,0.958333333,23:10,Fog,Low,2,Meal,scooter,1.0,No,Metropolitian,35,20002.51968875991
1252,8718,CHENRES19DEL03,34.0,5.0,03-03-2022,19:45,0.833333333,Stormy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,29,20002.519684655694
1253,17353,KNPRES12DEL01,25.0,4.6,18-02-2022,17:20,17:35,Windy,Medium,1,Meal,scooter,1.0,No,Metropolitian,15,20002.519684655694
1254,39610,BHPRES11DEL01,29.0,4.9,18-02-2022,21:25,21:40,Cloudy,Jam,2,Snack,scooter,1.0,No,Metropolitian,43,20002.5196845645
1255,7950,HYDRES02DEL03,37.0,4.1,16-03-2022,19:10,19:20,Fog,Jam,2,Buffet,scooter,,No,Metropolitian,49,20002.5196845645
1256,12690,SURRES11DEL01,29.0,4.8,05-03-2022,08:35,08:50,Fog,Low,0,Buffet,motorcycle,,No,Urban,23,20002.51968456174
1257,1121,INDORES09DEL02,34.0,4.8,18-03-2022,21:50,21:55,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,43,20002.51968456174
1258,35026,MUMRES05DEL03,35.0,4.9,01-04-2022,18:30,18:40,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,27,20002.519684549705
1259,21733,ALHRES07DEL03,24.0,5.0,11-02-2022,21:10,21:25,Stormy,Jam,2,Snack,electric_scooter,0.0,No,Metropolitian,11,20002.519684549705
1260,13356,PUNERES13DEL03,38.0,4.9,08-03-2022,23:40,23:50,Sandstorms,Low,2,Snack,motorcycle,1.0,No,Metropolitian,28,20002.519684549705
1261,17672,MYSRES03DEL02,32.0,4.5,10-03-2022,23:10,23:25,Stormy,Low,1,Buffet,scooter,,No,Metropolitian,25,20002.519684549705
1262,43543,CHENRES16DEL02,31.0,4.0,09-03-2022,11:45,11:55,Sandstorms,High,2,Meal,scooter,2.0,No,Metropolitian,34,20002.519684549705
1263,18659,BANGRES12DEL03,,,09-03-2022,,18:25,Windy,Medium,2,Buffet,scooter,0.0,No,Metropolitian,31,20002.519684549705
1264,36999,MUMRES08DEL01,37.0,4.2,20-03-2022,18:45,0.791666667,Fog,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,42,20002.519684549705
1265,33368,VADRES15DEL02,20.0,4.8,26-03-2022,10:25,10:30,Sandstorms,Low,1,Buffet,scooter,0.0,No,Urban,18,20002.51968449132
1266,1710,BANGRES11DEL01,38.0,4.6,01-04-2022,14:15,14:20,Cloudy,High,0,Snack,motorcycle,1.0,No,Metropolitian,28,20002.51968446414
1267,3673,MYSRES16DEL01,22.0,4.7,04-03-2022,21:15,21:25,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.51968446414
1268,44596,RANCHIRES11DEL01,22.0,4.7,09-03-2022,14:15,14:25,Windy,High,2,Meal,motorcycle,0.0,No,Urban,10,20002.51968445585
1269,34005,KOLRES04DEL01,33.0,4.8,11-02-2022,13:40,13:45,Windy,High,1,Drinks,scooter,0.0,No,Metropolitian,32,20002.51968445585
1270,5595,COIMBRES11DEL01,37.0,5.0,06-04-2022,19:15,19:25,Stormy,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,53,20002.519684455106
1271,39945,CHENRES16DEL01,28.0,4.4,10-03-2022,20:15,20:20,Windy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,36,20002.519684455106
1272,7969,BANGRES09DEL02,36.0,4.6,24-03-2022,21:30,21:45,Cloudy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,25,20002.519684455106
1273,39246,ALHRES11DEL01,22.0,4.6,14-02-2022,22:50,23:05,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23,20002.519684451123
1274,40874,CHENRES010DEL02,28.0,5.0,07-03-2022,08:55,09:10,Fog,Low,2,Snack,electric_scooter,0.0,No,Metropolitian,15,20002.519684451123
1275,29700,HYDRES18DEL02,23.0,4.6,18-03-2022,22:20,22:25,Stormy,Low,2,Drinks,scooter,0.0,No,Metropolitian,10,20002.519684451123
1276,17782,INDORES19DEL02,31.0,4.1,31-03-2022,21:20,21:25,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,50,20002.519684451123
1277,14831,JAPRES04DEL01,21.0,4.8,01-03-2022,08:55,0.375,Sunny,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,16,20002.519684447783
1278,12768,JAPRES16DEL02,24.0,5.0,24-03-2022,23:40,23:55,Sunny,Low,0,Drinks,motorcycle,1.0,No,Urban,12,20002.519684447783
1279,23881,RANCHIRES19DEL02,35.0,4.7,28-03-2022,1,24:15:00,Sunny,Low,2,Meal,scooter,1.0,No,Urban,13,20002.519684447783
1280,45218,MYSRES13DEL02,28.0,4.9,01-03-2022,10:40,10:45,Sandstorms,Low,2,Buffet,motorcycle,1.0,No,Urban,10,20002.519684447783
1281,23095,KNPRES17DEL02,22.0,4.3,17-02-2022,09:15,09:25,Windy,Low,0,Buffet,motorcycle,,No,Metropolitian,20,20002.519684447783
1282,12365,HYDRES06DEL01,29.0,4.0,15-03-2022,08:20,08:35,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,21,20002.519684447783
1283,43519,SURRES03DEL02,29.0,4.9,12-03-2022,23:25,23:30,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,20,20002.519684447783
1284,4303,INDORES16DEL02,23.0,4.2,12-03-2022,19:20,19:30,Cloudy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,32,20002.519684442785
1285,37975,HYDRES16DEL03,37.0,4.2,17-03-2022,23:35,23:40,Stormy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,32,20002.519684442785
1286,15769,BANGRES15DEL01,21.0,5.0,06-03-2022,21:50,21:55,Windy,Jam,2,Drinks,motorcycle,0.0,No,Urban,17,20002.519684442785
1287,31396,BANGRES02DEL03,24.0,4.1,19-03-2022,20:25,20:30,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Urban,35,20002.519684442785
1288,26738,JAPRES20DEL01,23.0,4.6,27-03-2022,17:55,0.75,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Urban,39,20002.51968443479
1289,34307,SURRES02DEL01,21.0,4.2,06-04-2022,21:25,21:40,Fog,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,37,20002.51968443479
1290,34747,RANCHIRES04DEL02,38.0,4.8,02-03-2022,23:35,23:50,Windy,Low,2,Meal,scooter,0.0,No,Metropolitian,26,20002.51968443479
1291,3916,PUNERES16DEL01,38.0,4.6,16-03-2022,23:25,23:30,Sunny,Low,1,Snack,motorcycle,0.0,No,Metropolitian,26,20002.519684426607
1292,38689,HYDRES04DEL01,22.0,4.7,04-04-2022,18:55,0.791666667,Windy,Medium,2,Snack,scooter,0.0,No,Metropolitian,21,20002.519684426607
1293,33663,JAPRES06DEL01,32.0,4.3,27-03-2022,17:25,17:30,Cloudy,Medium,1,Snack,motorcycle,2.0,No,Metropolitian,38,20002.519684421593
1294,41716,JAPRES03DEL01,35.0,4.6,19-03-2022,14:20,14:25,Sunny,High,1,Snack,scooter,1.0,No,Urban,20,20002.519684421593
1295,32224,COIMBRES05DEL02,22.0,5.0,07-03-2022,21:35,21:50,Stormy,Jam,0,Meal,motorcycle,1.0,No,Urban,24,20002.519684421593
1296,32438,BANGRES13DEL01,,,31-03-2022,,18:05,Windy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,24,20002.51968438101
1297,23612,MYSRES05DEL02,25.0,4.7,11-03-2022,09:55,0.416666667,Stormy,Low,2,Buffet,scooter,1.0,No,Metropolitian,17,20002.51968438101
1298,18875,LUDHRES16DEL03,35.0,4.7,12-02-2022,21:40,21:55,Stormy,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,38,20002.519684375973
1299,26125,KNPRES02DEL03,21.0,4.2,17-02-2022,19:35,19:45,Sunny,Jam,0,Meal,motorcycle,2.0,Yes,Metropolitian,49,20002.519684375973
1300,27267,SURRES04DEL03,32.0,4.6,20-03-2022,23:15,23:20,Fog,Low,0,Snack,motorcycle,2.0,No,Metropolitian,36,20002.519684373434
1301,42381,INDORES17DEL01,37.0,4.7,02-04-2022,23:25,23:30,Sunny,Low,1,Snack,scooter,0.0,No,Metropolitian,25,20002.519684373434
1302,10656,COIMBRES010DEL03,36.0,4.6,11-03-2022,19:50,20:05,Sandstorms,Jam,0,Snack,motorcycle,1.0,Yes,Metropolitian,44,20002.519684373434
1303,9192,PUNERES14DEL02,38.0,4.9,24-03-2022,10:10,10:20,Sunny,Low,1,Drinks,motorcycle,0.0,No,,13,20002.519677558088
1304,34015,PUNERES14DEL02,30.0,4.9,23-03-2022,19:10,19:20,Sunny,Jam,2,Snack,scooter,1.0,No,Metropolitian,20,20002.519677506636
1305,38039,GOARES11DEL01,21.0,4.5,14-02-2022,22:30,22:45,Stormy,Low,1,Snack,scooter,1.0,No,Metropolitian,13,20002.51967749903
1306,5865,BANGRES09DEL02,32.0,4.2,27-03-2022,23:50,24:05:00,Fog,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,38,20002.51967740261
1307,40995,COIMBRES12DEL03,28.0,4.9,13-03-2022,19:35,19:45,Stormy,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,13,20002.51967740261
1308,17856,MUMRES16DEL03,26.0,4.5,25-03-2022,23:45,23:55,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,16,20002.519677389755
1309,30136,INDORES15DEL03,36.0,4.8,01-04-2022,17:50,0.75,Cloudy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,30,20002.519677365508
1310,21893,MYSRES20DEL01,26.0,4.3,12-03-2022,18:35,18:40,Fog,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,33,20002.519677338983
1311,8943,HYDRES09DEL03,34.0,4.7,30-03-2022,21:20,21:30,Windy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,29,20002.519677330467
1312,3940,SURRES03DEL02,30.0,4.4,27-03-2022,17:30,17:40,Windy,Medium,0,Meal,motorcycle,1.0,Yes,Metropolitian,43,20002.519677330467
1313,26495,VADRES18DEL01,24.0,4.6,27-03-2022,18:10,18:15,Windy,Medium,1,Meal,scooter,1.0,No,Metropolitian,16,20002.51967666357
1314,26180,JAPRES15DEL03,36.0,4.7,03-04-2022,17:45,0.75,Windy,Medium,1,Snack,scooter,0.0,No,Urban,28,20002.519676162334
1315,45290,CHENRES15DEL01,31.0,4.6,14-03-2022,0.958333333,23:05,Windy,Low,2,Snack,scooter,0.0,No,Metropolitian,21,20002.519669538724
1316,24751,COIMBRES02DEL03,32.0,4.7,05-04-2022,21:50,22:05,Sandstorms,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,30,20002.519669538724
1317,29201,HYDRES06DEL01,30.0,4.5,05-04-2022,14:55,15:10,Windy,High,2,Snack,scooter,1.0,No,Metropolitian,25,20002.519669538724
1318,19606,ALHRES06DEL02,30.0,4.9,16-02-2022,17:15,17:25,Sandstorms,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,36,20002.519669522673
1319,3939,HYDRES02DEL01,23.0,4.9,06-04-2022,0.875,21:05,Fog,Jam,2,Drinks,scooter,1.0,No,Metropolitian,31,20002.519669522673
1320,41446,MUMRES20DEL01,35.0,4.8,02-04-2022,20:30,20:35,Windy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,44,20002.519669522673
1321,890,PUNERES010DEL01,38.0,4.8,05-03-2022,10:25,10:30,Windy,Low,1,Snack,motorcycle,1.0,No,Urban,28,20002.519669522673
1322,24261,MYSRES17DEL01,36.0,5.0,05-04-2022,09:40,09:50,Stormy,Low,2,Drinks,scooter,1.0,No,Metropolitian,24,20002.51966950905
1323,1107,AGRRES15DEL03,24.0,5.0,13-02-2022,23:45,23:50,Sunny,Low,0,Snack,motorcycle,1.0,No,Metropolitian,19,20002.51966950905
1324,6915,BANGRES06DEL01,30.0,4.6,25-03-2022,1,24:10:00,Windy,Low,2,Meal,scooter,1.0,No,Metropolitian,26,20002.51966950905
1325,43657,MYSRES09DEL02,29.0,5.0,24-03-2022,09:50,10:05,Sunny,Low,1,Drinks,motorcycle,0.0,No,Metropolitian,17,20002.51966950905
1326,34058,BANGRES11DEL03,28.0,4.6,26-03-2022,23:35,23:40,Fog,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,23,20002.51966950905
1327,37082,AURGRES11DEL01,38.0,4.6,12-02-2022,22:50,0.958333333,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,22,20002.51966950905
1328,15466,BANGRES09DEL03,30.0,4.6,01-03-2022,18:40,18:55,Sunny,Medium,2,Meal,motorcycle,0.0,No,Urban,21,20002.519669463916
1329,16612,LUDHRES06DEL01,37.0,4.6,18-02-2022,20:25,20:40,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,40,20002.519669463916
1330,14164,SURRES18DEL03,34.0,4.9,27-03-2022,22:20,22:25,Stormy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,25,20002.519669463916
1331,14933,VADRES19DEL01,37.0,4.9,30-03-2022,11:15,11:30,Windy,High,1,Meal,motorcycle,1.0,No,,34,20002.519669463916
1332,6753,MUMRES20DEL03,39.0,4.1,09-03-2022,20:55,0.875,Windy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,31,20002.519669456215
1333,15315,PUNERES09DEL02,32.0,4.9,02-04-2022,0.958333333,23:10,Windy,Low,0,Snack,motorcycle,0.0,No,Urban,24,20002.519669456215
1334,1232,MUMRES05DEL02,29.0,4.9,25-03-2022,0.75,18:10,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.519669456215
1335,16357,HYDRES03DEL03,29.0,4.0,03-03-2022,20:15,20:20,Cloudy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,33,20002.519669439615
1336,15469,PUNERES08DEL01,37.0,4.7,16-03-2022,18:35,18:45,Stormy,Medium,1,Meal,motorcycle,1.0,No,Urban,26,20002.519669439615
1337,37889,BANGRES18DEL02,32.0,4.6,03-03-2022,18:25,18:40,Stormy,Medium,1,Meal,scooter,1.0,No,Metropolitian,30,20002.519669439615
1338,43285,HYDRES11DEL01,36.0,4.1,17-03-2022,08:20,08:25,Windy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,21,20002.51966942688
1339,5370,HYDRES16DEL01,29.0,4.7,31-03-2022,23:30,23:40,Fog,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,20,20002.51966942688
1340,20050,VADRES15DEL03,29.0,4.6,05-04-2022,17:25,17:40,Stormy,Medium,2,Snack,motorcycle,1.0,No,Metropolitian,28,20002.51966942688
1341,25935,CHENRES07DEL02,35.0,4.0,01-04-2022,11:20,11:30,Sandstorms,High,0,Snack,motorcycle,1.0,No,Metropolitian,41,20002.51966942688
1342,13906,HYDRES05DEL03,26.0,4.7,07-03-2022,23:10,23:20,Fog,Low,0,Snack,motorcycle,1.0,No,Urban,22,20002.519669412868
1343,14427,VADRES17DEL02,26.0,5.0,24-03-2022,08:15,08:20,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,21,20002.519669412868
1344,13205,PUNERES03DEL01,31.0,4.1,30-03-2022,08:35,08:45,Stormy,Low,0,Drinks,motorcycle,0.0,No,Urban,27,20002.51966940045
1345,19174,MYSRES12DEL02,20.0,5.0,17-03-2022,0.416666667,10:05,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,22,20002.51966940045
1346,44060,SURRES04DEL01,22.0,4.2,14-03-2022,20:20,20:30,Windy,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,31,20002.5196693537
1347,19388,SURRES01DEL02,34.0,4.7,15-03-2022,11:55,12:10,Stormy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,34,20002.5196693537
1348,7945,INDORES07DEL02,20.0,4.7,05-04-2022,11:50,12:05,Cloudy,High,1,Meal,motorcycle,1.0,No,Metropolitian,31,20002.5196693537
1349,44963,MUMRES11DEL03,35.0,4.8,31-03-2022,20:10,20:25,Sunny,Jam,2,Buffet,motorcycle,,No,Urban,22,20002.5196693537
1350,29746,INDORES09DEL03,35.0,4.6,17-03-2022,23:55,24:05:00,Windy,Low,1,Drinks,motorcycle,1.0,No,Urban,21,20002.519669351972
1351,35782,VADRES010DEL02,37.0,4.8,16-03-2022,20:55,21:10,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,44,20002.519669351972
1352,14803,BANGRES02DEL02,21.0,4.7,20-03-2022,0.875,21:15,Windy,Jam,2,Snack,motorcycle,0.0,No,Urban,21,20002.519669351972
1353,5754,HYDRES19DEL01,35.0,4.7,28-03-2022,09:25,09:30,Sunny,Low,2,Drinks,scooter,0.0,No,Metropolitian,18,20002.519669351972
1354,37680,RANCHIRES15DEL01,28.0,5.0,06-04-2022,1,24:05:00,Sunny,Low,0,Snack,motorcycle,1.0,No,Urban,25,20002.519669351972
1355,33821,COIMBRES05DEL01,36.0,4.6,06-03-2022,21:50,21:55,Cloudy,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,40,20002.519669351972
1356,10665,JAPRES03DEL01,38.0,4.7,30-03-2022,09:25,09:30,Cloudy,Low,2,Meal,scooter,1.0,No,Urban,15,20002.51966934548
1357,42371,AGRRES15DEL03,30.0,4.9,14-02-2022,18:10,18:25,Sunny,Medium,1,Snack,scooter,0.0,No,Metropolitian,23,20002.51966934548
1358,13167,JAPRES03DEL01,26.0,4.7,20-03-2022,19:55,20:05,Stormy,Jam,1,Meal,motorcycle,1.0,No,Urban,20,20002.519669343306
1359,14335,VADRES17DEL01,29.0,4.8,25-03-2022,20:35,20:45,Sunny,Jam,2,Meal,scooter,1.0,No,Urban,24,20002.519669343306
1360,14707,GOARES07DEL03,29.0,5.0,14-02-2022,17:10,17:25,Cloudy,Medium,0,Meal,motorcycle,2.0,No,Metropolitian,43,20002.519669343306
1361,42236,COIMBRES010DEL01,28.0,4.9,08-03-2022,23:35,23:45,Cloudy,Low,1,Drinks,motorcycle,1.0,No,Urban,29,20002.519669343284
1362,16649,CHENRES010DEL02,,,03-04-2022,,11:30,Cloudy,High,1,Snack,motorcycle,1.0,No,Metropolitian,21,20002.519669343284
1363,7801,JAPRES04DEL02,24.0,4.6,02-03-2022,22:30,22:40,Sunny,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,27,20002.519669343284
1364,39617,PUNERES18DEL03,28.0,5.0,11-03-2022,19:55,20:10,Sandstorms,Jam,1,Drinks,scooter,0.0,No,Metropolitian,21,20002.519669331727
1365,31986,JAPRES07DEL01,34.0,4.7,19-03-2022,11:35,11:40,Stormy,High,0,Meal,motorcycle,1.0,No,Urban,41,20002.519669331727
1366,43901,MUMRES17DEL01,25.0,4.6,12-03-2022,21:40,21:55,Stormy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,37,20002.519669331727
1367,5572,BHPRES12DEL03,31.0,4.3,14-02-2022,0.791666667,19:15,Fog,Medium,2,Meal,motorcycle,2.0,Yes,Metropolitian,44,20002.519669282396
1368,17969,VADRES03DEL03,22.0,4.9,21-03-2022,23:30,23:40,Stormy,Low,2,Drinks,electric_scooter,0.0,No,Urban,12,20002.519669282396
1369,45431,COIMBRES17DEL01,21.0,5.0,20-03-2022,22:45,22:55,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,25,20002.519669282396
1370,40173,PUNERES02DEL02,30.0,4.8,08-03-2022,20:50,0.875,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,28,20002.519669282396
1371,39079,INDORES09DEL01,22.0,4.5,09-03-2022,14:20,14:35,Sunny,High,0,Drinks,motorcycle,1.0,Yes,Urban,50,20002.519669282396
1372,41395,RANCHIRES04DEL03,30.0,4.2,26-03-2022,18:20,18:35,Sandstorms,Medium,1,Drinks,scooter,0.0,No,Metropolitian,33,20002.519669223744
1373,34334,HYDRES15DEL01,31.0,4.6,31-03-2022,17:55,18:10,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,26,20002.519669223744
1374,3829,SURRES11DEL02,,,19-03-2022,,18:10,,,3,Meal,electric_scooter,1.0,No,Urban,18,20002.519669223744
1375,42868,HYDRES08DEL01,38.0,4.9,16-03-2022,18:30,18:35,Fog,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,45,20002.519669210596
1376,4091,RANCHIRES05DEL03,32.0,4.1,11-03-2022,21:15,21:30,Stormy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,49,20002.519669210596
1377,38491,CHENRES20DEL01,24.0,5.0,23-03-2022,20:25,20:30,Stormy,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,33,20002.519669210596
1378,25504,BANGRES16DEL03,29.0,4.3,12-03-2022,18:20,18:30,Stormy,Medium,0,Snack,motorcycle,1.0,No,Urban,31,20002.519669210596
1379,42619,HYDRES20DEL01,30.0,4.5,16-03-2022,20:50,20:55,Windy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,38,20002.519669210596
1380,233,HYDRES20DEL01,28.0,4.6,26-03-2022,12:35,12:50,Stormy,High,2,Drinks,motorcycle,0.0,No,Metropolitian,14,20002.51966920702
1381,38948,CHENRES16DEL03,37.0,4.4,01-03-2022,21:55,22:10,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,33,20002.519669203335
1382,31638,LUDHRES11DEL03,30.0,4.8,18-02-2022,0.791666667,19:05,Stormy,Medium,2,Meal,scooter,1.0,No,Metropolitian,25,20002.519669203124
1383,9803,DEHRES16DEL02,39.0,4.8,11-02-2022,09:35,09:50,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,24,20002.519669201218
1384,28384,ALHRES19DEL01,37.0,4.9,11-02-2022,11:25,11:40,Sandstorms,High,1,Drinks,motorcycle,0.0,No,Metropolitian,34,20002.519669201218
1385,9932,VADRES03DEL03,31.0,4.3,11-03-2022,22:40,22:45,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,31,20002.51966919393
1386,22204,INDORES02DEL01,37.0,4.9,16-03-2022,17:30,17:45,Sandstorms,Medium,1,Buffet,scooter,1.0,No,Metropolitian,27,20002.51966919393
1387,31386,SURRES08DEL02,39.0,4.6,29-03-2022,20:10,20:20,Sunny,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,17,20002.51966919393
1388,41542,VADRES06DEL02,38.0,4.6,08-03-2022,20:30,20:40,Cloudy,Jam,2,Snack,scooter,1.0,No,Metropolitian,47,20002.519669192097
1389,35471,MYSRES16DEL01,,,05-03-2022,,08:40,Stormy,Low,0,Snack,motorcycle,0.0,No,Urban,19,20002.519669192097
1390,20979,SURRES11DEL03,35.0,4.3,26-03-2022,0.875,21:15,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Urban,34,20002.519669192097
1391,33825,MUMRES08DEL01,29.0,5.0,12-03-2022,21:45,21:55,Sandstorms,Jam,1,Meal,scooter,1.0,No,Urban,22,20002.519669192097
1392,19119,CHENRES010DEL03,30.0,4.2,24-03-2022,17:15,17:30,Windy,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,34,20002.51966918444
1393,20494,RANCHIRES03DEL01,27.0,5.0,05-03-2022,11:35,11:40,Cloudy,High,1,Drinks,scooter,1.0,No,Urban,25,20002.51966918444
1394,38052,COIMBRES13DEL02,34.0,4.4,29-03-2022,0.875,21:10,Stormy,Jam,2,Meal,scooter,1.0,No,Metropolitian,33,20002.51966918444
1395,37359,LUDHRES15DEL03,38.0,4.1,11-02-2022,23:40,23:45,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,23,20002.51966918444
1396,15971,KOCRES07DEL03,37.0,4.5,11-02-2022,21:40,21:45,Windy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,28,20002.51966918444
1397,4377,PUNERES16DEL03,20.0,4.2,18-03-2022,17:15,17:20,Windy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,39,20002.519669183665
1398,37610,RANCHIRES19DEL01,30.0,4.1,10-03-2022,17:40,17:45,Fog,Medium,2,Meal,scooter,0.0,No,Metropolitian,35,20002.519669182562
1399,12124,SURRES12DEL03,31.0,4.0,01-03-2022,23:15,23:30,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,33,20002.519669182562
1400,44530,PUNERES15DEL03,23.0,4.9,28-03-2022,0.875,21:10,Sandstorms,Jam,2,Drinks,scooter,0.0,,Metropolitian,10,20002.51966917712
1401,1278,VADRES08DEL01,38.0,4.9,30-03-2022,0.666666667,16:05,Fog,Medium,2,Buffet,scooter,1.0,No,Metropolitian,18,20002.51966917712
1402,25880,MYSRES03DEL03,33.0,4.7,10-03-2022,17:40,17:45,Windy,Medium,2,Buffet,scooter,0.0,No,Metropolitian,23,20002.51966917712
1403,32102,RANCHIRES11DEL01,30.0,4.8,06-04-2022,23:30,23:40,Windy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,20002.51966917712
1404,37942,ALHRES14DEL01,30.0,4.5,18-02-2022,0.875,21:10,Sandstorms,Jam,1,Drinks,motorcycle,2.0,No,Metropolitian,35,20002.519669176814
1405,15670,INDORES07DEL03,20.0,4.9,05-04-2022,17:45,0.75,Sandstorms,Medium,2,Buffet,scooter,1.0,No,Metropolitian,25,20002.519669176814
1406,18606,MUMRES14DEL01,35.0,4.5,06-04-2022,23:20,23:25,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,27,20002.519669116737
1407,8994,JAPRES11DEL03,21.0,4.7,09-03-2022,19:25,19:35,Stormy,Jam,2,Meal,scooter,0.0,No,Metropolitian,12,20002.519669116737
1408,26456,COIMBRES12DEL01,22.0,4.1,21-03-2022,0.416666667,10:10,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,26,20002.519669116737
1409,34219,MUMRES02DEL03,35.0,4.7,29-03-2022,18:50,19:05,Sunny,Medium,1,Drinks,scooter,1.0,No,Urban,26,20002.519669116737
1410,42893,CHENRES06DEL01,34.0,4.0,28-03-2022,0.625,15:05,Fog,High,0,Snack,motorcycle,1.0,No,Metropolitian,31,20002.519669085857
1411,35689,HYDRES18DEL01,23.0,4.8,06-03-2022,20:45,0.875,Fog,Jam,0,Meal,motorcycle,1.0,No,Urban,42,20002.519669085857
1412,18045,MUMRES010DEL01,32.0,5.0,10-03-2022,1,24:10:00,Windy,Low,2,Meal,electric_scooter,0.0,No,Urban,19,20002.519669085857
1413,26037,JAPRES07DEL03,36.0,4.8,02-03-2022,23:40,23:55,Cloudy,Low,0,Drinks,motorcycle,2.0,No,Urban,40,20002.51966907452
1414,4707,AGRRES07DEL02,20.0,4.8,17-02-2022,08:10,08:20,Stormy,Low,1,Snack,motorcycle,0.0,No,Urban,15,20002.51966907452
1415,15004,MUMRES14DEL03,24.0,4.9,30-03-2022,20:20,20:30,Sandstorms,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,29,20002.51966907452
1416,2185,MUMRES15DEL02,32.0,4.1,16-03-2022,19:50,0.833333333,Fog,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,41,20002.51966907452
